Ranking,Player,2021/22,2021/22(*)
344.,Quentin Grimes,2168640,2507701
345.,Jordan Poole,2161440,2499375
346.,Bol Bol,2161152,2499042
347.,Keldon Johnson,2145720,2481198
348.,Payton Pritchard,2137440,2471623
349.,Jahlil Okafor,2130023,2463046
350.,Bones Hyland,2096880,2424722
351.,Nemanja Bjelica,2089448,2416128
351.,Frank Kaminsky,2089448,2416128
351.,Raul Neto,2089448,2416128
354.,Udoka Azubuike,2075880,2400438
355.,Jaden McDaniels,2063280,2385868
356.,Malachi Flynn,2048040,2368246
357.,DeMarcus Cousins,2038942,2357725
358.,Cam Thomas,2036280,2354647
359.,Desmond Bane,2033160,2351039
360.,Jaden Springer,2023680,2340077
361.,Day'Ron Sharpe,2009160,2323287
362.,Garrison Mathews,2000000,2312695
362.,Jordan McLaughlin,2000000,2312695
362.,Jeremiah Robinson-Earl,2000000,2312695
362.,Theo Maledon,2000000,2312695
362.,Kenrich Williams,2000000,2312695
362.,Abdel Nader,2000000,2312695
368.,Santiago Aldama,1994520,2306358
369.,Damian Jones,1977011,2286111
370.,Wesley Matthews,1958495,2264700
371.,Timothe Luwawu,1939350,2242562
371.,Rodney McGruder,1939350,2242562
373.,Moses Brown,1933909,2236270
374.,Wesley Iwundu,1926834,2228089
375.,Jose Alvarado,1925406,2226438
376.,Damion Lee,1910860,2209618
376.,PJ Dozier,1910860,2209618
378.,Killian Tillie,1901625,2198939
379.,Tyrell Terry,1869438,2161719
380.,Larry Sanders,1865546,2157219
381.,Carsen Edwards,1859365,2150071
382.,Shake Milton,1846738,2135470
383.,Jalen Brunson,1802057,2083804
383.,Mitchell Robinson,1802057,2083804
385.,Tony Bradley,1789256,2069001
385.,Frank Ntilikina,1789256,2069001
385.,Semi Ojeleye,1789256,2069001
385.,Malik Monk,1789256,2069001
385.,Dennis Smith,1789256,2069001
390.,Didi Louzada,1786878,2066251
391.,Nicolas Claxton,1782621,2061329
391.,Jalen McDaniels,1782621,2061329
391.,Cody Martin,1782621,2061329
391.,Dean Wade,1782621,2061329
391.,Vlatko Cancar,1782621,2061329
391.,Kevin Porter,1782621,2061329
391.,Bruno Fernando,1782621,2061329
391.,Terance Mann,1782621,2061329
391.,Jaylen Nowell,1782621,2061329
391.,Naz Reid,1782621,2061329
391.,KZ Okpala,1782621,2061329
391.,Isaiah Roby,1782621,2061329
391.,Luguentz Dort,1782621,2061329
391.,Eric Paschall,1782621,2061329
391.,Daniel Gafford,1782621,2061329
406.,Chimezie Metu,1762796,2038404
406.,Yuta Watanabe,1762796,2038404
408.,Armoni Brooks,1739065,2010962
409.,Isaiah Hartenstein,1729217,1999575
409.,Thanasis Antetokounmpo,1729217,1999575
409.,Moritz Wagner,1729217,1999575
409.,Keita Bates-Diop,1729217,1999575
409.,Sviatoslav Mykhailiuk,1729217,1999575
409.,Isaac Bonga,1729217,1999575
415.,Juan Toscano-Anderson,1701593,1967632
415.,Oshae Brissett,1701593,1967632
417.,Herb Jones,1700000,1965790
418.,Gabriel Deck,1690507,1954813
419.,Matt Thomas,1669178,1930149
419.,Javonte Green,1669178,1930149
419.,Gary Payton II,1669178,1930149
419.,Max Strus,1669178,1930149
419.,Gabe Vincent,1669178,1930149
424.,Robert Woodard,1619015,1872143
425.,Lance Stephenson,1614825,1867297
426.,Deividas Sirvydis,1603559,1854271
426.,Daniel Oturu,1603559,1854270
428.,Kevin Pangos,1569178,1814515
429.,Bismack Biyombo,1518213,1755581
430.,Nick Richards,1517981,1755313
430.,Lamar Stevens,1517981,1755313
430.,KJ Martin,1517981,1755313
430.,Jae'Sean Tate,1517981,1755313
430.,Sam Merrill,1517981,1755313
430.,Xavier Tillman,1517981,1755313
430.,Jordan Nwora,1517981,1755313
430.,Naji Marshall,1517981,1755313
430.,Paul Reed,1517981,1755313
430.,Isaiah Joe,1517981,1755313
430.,Elijah Hughes,1517981,1755313
430.,CJ Elleby,1517981,1755313
430.,Jahmi'us Ramsey,1517981,1755313
430.,Tre Jones,1517981,1755313
430.,Anthony Gill,1517981,1755313
430.,Vernon Carey,1517981,1755313
446.,Isaiah Todd,1500000,1734521
447.,Saben Lee,1489065,1721876
447.,Omer Yurtseven,1489065,1721876
449.,JR Smith,1456667,1684413
450.,Stanley Johnson,1368998,1583036
451.,Duane Washington Jr,1346676,1557225
452.,Aaron Wiggins,1305761,1509913
453.,Marquese Chriss,1292900,1495041
454.,JT Thor,1250000,1445434
455.,DeMarre Carroll,1242340,1436576
456.,Jabari Parker,1168286,1350944
457.,Alfonzo McKinnie,1090007,1260426
458.,Zhaire Smith,1068200,1235210
459.,Jason Preston,1062303,1228391
460.,Isaiah Livers,1057260,1222559
461.,Denzel Valentine,1005633,1162860
462.,Alize Johnson,1003740,1160670
463.,Kyle Singler,999200,1155422
464.,Kelan Martin,993760,1149131
465.,Miye Oni,946261,1094206
466.,Ayo Dosunmu,925258,1069919
466.,Marko Simonovic,925258,1069919
466.,Luka Garza,925258,1069919
466.,BJ Boston,925258,1069919
466.,Austin Reaves,925258,1069919
466.,Miles McBride,925258,1069919
466.,Vit Krejci,925258,1069919
466.,Charles Bassey,925258,1069919
466.,Greg Brown,925258,1069919
466.,Jock Landale,925258,1069919
466.,Dalano Banton,925258,1069919
466.,Jared Butler,925258,1069919
478.,Daishen Nix,923078,1067398
479.,Isaiah Thomas,910926,1053345
480.,Terry Taylor,895125,1035075
481.,Mamadi Diakite,869078,1004956
482.,Caleb Martin,844011,975970
483.,Brad Wanamaker,814918,942327
484.,Luke Kornet,812364,939374
485.,Wayne Selden,812363,939373
486.,Gary Clark,811213,938044
487.,Ryan Arcidiacono,774727,895853
488.,Trendon Watford,768830,889034
489.,Patrick Patterson,737067,852305
490.,Devontae Cacok,726128,839656
491.,Admiral Schofield,723741,836895
492.,Ishmail Wainright,707893,818569
493.,Shaun Livingston,666666,770897
494.,Malik Fitts,630874,729508
495.,Sam Hauser,619498,716354
496.,Greg Monroe,612805,708612
497.,Amir Coffey,573576,663253
498.,Joe Wieskamp,563663,651790
499.,Keifer Sykes,558345,645640
500.,Haywood Highsmith,547701,633332
501.,Nik Stauskas,534993,618637
502.,Davon Reed,532398,615637
503.,Wenyen Gabriel,522015,603628
504.,Skylar Mays,510907,590786
505.,Georgios Kalaitzakis,499852,578001
506.,RJ Nembhard,491876,568779
507.,Chris Silva,479650,554641
508.,Kessler Edwards,463211,535632
508.,Trent Forrest,463211,535632
510.,Sharife Cooper,462629,534959
510.,Brodric Thomas,462629,534959
510.,David Duke,462629,534959
510.,Scottie Lewis,462629,534959
510.,Arnoldas Kulboka,462629,534959
510.,Tyler Cook,462629,534959
510.,Markus Howard,462629,534959
510.,Jamorko Pickett,462629,534959
510.,Sean Chris Smith,462629,534959
510.,Chris Chiozza,462629,534959
510.,Jay Scrubb,462629,534959
510.,Yves Pons,462629,534959
510.,Sandro Mamukelashvili,462629,534959
510.,McKinley Wright,462629,534959
510.,Nathan Knight,462629,534959
510.,Jericho Sims,462629,534959
510.,Ignas Brazdeikis,462629,534959
510.,Keljin Blevins,462629,534959
510.,Neemias Queta,462629,534959
510.,David Johnson,462629,534959
510.,Justin Champagnie,462629,534959
510.,Joel Ayayi,462629,534959
510.,Cassius Winston,462629,534959
533.,Justin Anderson,445828,515532
534.,Theo Pinson,440710,509613
535.,Charlie Brown,431151,498559
536.,Langston Galloway,386127,446496
536.,James Ennis,386127,446496
536.,Tim Frazier,386127,446496
539.,Kyle Guy,383079,442972
540.,Sam Dekker,350000,404721
541.,Quinndary Weatherspoon,346491,400664
542.,Brandon Goodwin,343988,397769
543.,Malcolm Hill,324373,375086
544.,Louis King,316396,365863
545.,Justin Jackson,308493,356724
