trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
24,2024-02-08,Charlotte Hornets,Incoming,Player,Seth Curry,33,SG,,,,,"Salary: $4,000,000"
24,2024-02-08,Charlotte Hornets,Incoming,Pick,,,,2027,1,top-2 protected,,
25,2024-02-08,Toronto Raptors,Incoming,Cap Space,,,,,,,,50000,+$0.05M CAP SPACE
25,2024-02-08,Toronto Raptors,Incoming,Player,Spencer Dinwiddie,30,PG,,,,,"Salary: $20,357,143"
25,2024-02-08,Brooklyn Nets,Outgoing,Cap Space,,,,,,,,50000,-$0.05M CAP SPACE
25,2024-02-08,Brooklyn Nets,Incoming,Player,Dennis Schröder,30,PG,,,,,"Salary: $12,405,000"
25,2024-02-08,Brooklyn Nets,Incoming,Player,Thaddeus Young,35,PF,,,,,"Salary: $8,000,000"
26,2024-02-08,Oklahoma City Thunder,Outgoing,Cap Space,,,,,,,,5380000,-$5.38M CAP SPACE
26,2024-02-08,Oklahoma City Thunder,Incoming,Player,Gordon Hayward,33,SF,,,,,"Salary: $33,292,241"
26,2024-02-08,Charlotte Hornets,Incoming,Cap Space,,,,,,,,5380000,+$5.38M CAP SPACE
26,2024-02-08,Charlotte Hornets,Incoming,Player,Davis Bertans,31,PF,,,,,"Salary: $17,000,000"
26,2024-02-08,Charlotte Hornets,Incoming,Player,Vasilije Micic,30,PG,,,,,"Salary: $7,723,000"
26,2024-02-08,Charlotte Hornets,Incoming,Player,Tre Mann,23,PG,,,,,"Salary: $3,191,400"
26,2024-02-08,Charlotte Hornets,Incoming,Pick,,,,2024,2,,,
26,2024-02-08,Charlotte Hornets,Incoming,Pick,,,,2025,2,,,
27,2024-02-08,Detroit Pistons,Incoming,Cap Space,,,,,,,,3350000,+$3.35M CAP SPACE
27,2024-02-08,Detroit Pistons,Incoming,Player,Evan Fournier,31,SG,,,,,"Salary: $18,857,143"
27,2024-02-08,Detroit Pistons,Incoming,Player,Malachi Flynn,25,PG,,,,,"Salary: $3,873,025"
27,2024-02-08,Detroit Pistons,Incoming,Player,Quentin Grimes,23,SG,,,,,"Salary: $2,385,720"
27,2024-02-08,Detroit Pistons,Incoming,Player,Ryan Arcidiacono,29,PG,,,,,"Salary: $2,019,706"
27,2024-02-08,Detroit Pistons,Incoming,Pick,,,,2028,2,,,
27,2024-02-08,Detroit Pistons,Incoming,Pick,,,,2029,2,,,
27,2024-02-08,New York Knicks,Outgoing,Cap Space,,,,,,,,3350000,-$3.35M CAP SPACE
27,2024-02-08,New York Knicks,Incoming,Player,Bojan Bogdanovic,34,SF,,,,,"Salary: $20,000,000"
27,2024-02-08,New York Knicks,Incoming,Player,Alec Burks,32,SG,,,,,"Salary: $10,489,600"
28,2024-02-08,Dallas Mavericks,Outgoing,Cap Space,,,,,,,,360000,-$0.36M CAP SPACE
28,2024-02-08,Dallas Mavericks,Incoming,Player,Daniel Gafford,25,C,,,,,"Salary: $12,402,000"
28,2024-02-08,Washington Wizards,Incoming,Cap Space,,,,,,,,360000,+$0.36M CAP SPACE
28,2024-02-08,Washington Wizards,Incoming,Player,Richaun Holmes,30,C,,,,,"Salary: $12,046,020"
28,2024-02-08,Washington Wizards,Incoming,Pick,,,,2024,1,OKC pick,,
29,2024-02-08,Detroit Pistons,Outgoing,Cap Space,,,,,,,,4310000,-$4.31M CAP SPACE
29,2024-02-08,Detroit Pistons,Incoming,Player,Danuel House Jr.,30,SF,,,,,"Salary: $4,310,250"
29,2024-02-08,Detroit Pistons,Incoming,Pick,,,,2024,2,NYK pick,,
29,2024-02-08,Philadelphia 76ers,Incoming,Cap Space,,,,,,,,4310000,+$4.31M CAP SPACE
29,2024-02-08,Philadelphia 76ers,Incoming,Pick,,,,2028,2,top-55 protected,,
30,2024-02-08,Toronto Raptors,Outgoing,Cap Space,,,,,,,,4290000,-$4.29M CAP SPACE
30,2024-02-08,Toronto Raptors,Incoming,Player,Kelly Olynyk,32,PF,,,,,"Salary: $12,195,122"
30,2024-02-08,Toronto Raptors,Incoming,Player,Ochai Agbaji,23,SF,,,,,"Salary: $4,114,200"
30,2024-02-08,Utah Jazz,Incoming,Cap Space,,,,,,,,4290000,+$4.29M CAP SPACE
30,2024-02-08,Utah Jazz,Incoming,Player,Otto Porter Jr.,30,SF,,,,,"Salary: $6,300,000"
30,2024-02-08,Utah Jazz,Incoming,Player,Kira Lewis Jr.,22,PG,,,,,"Salary: $5,722,116"
30,2024-02-08,Utah Jazz,Incoming,Pick,,,,2024,1,least favorable of OKC/LAC/HOU/UTA,,
31,2024-02-08,Detroit Pistons,Incoming,Cap Space,,,,,,,,800000,+$0.80M CAP SPACE
31,2024-02-08,Detroit Pistons,Incoming,Player,Shake Milton,27,SG,,,,,"Salary: $5,000,000"
31,2024-02-08,Detroit Pistons,Incoming,Player,Troy Brown Jr.,24,SG,,,,,"Salary: $4,000,000"
31,2024-02-08,Detroit Pistons,Incoming,Pick,,,,2030,2,,,
31,2024-02-08,Minnesota Timberwolves,Outgoing,Cap Space,,,,,,,,800000,-$0.80M CAP SPACE
31,2024-02-08,Minnesota Timberwolves,Incoming,Player,Monte Morris,28,PG,,,,,"Salary: $9,800,926"
32,2024-02-08,Detroit Pistons,Outgoing,Cap Space,,,,,,,,1200000,-$1.20M CAP SPACE
32,2024-02-08,Detroit Pistons,Incoming,Player,Simone Fontecchio,28,SF,,,,,"Salary: $3,044,872"
32,2024-02-08,Utah Jazz,Incoming,Cap Space,,,,,,,,1200000,+$1.20M CAP SPACE
32,2024-02-08,Utah Jazz,Incoming,Player,Kevin Knox,24,SF,,,,,"Salary: $1,845,594"
32,2024-02-08,Utah Jazz,Incoming,Player,Gabriele Procida,21,SG,,,,,"Salary: $766,095"
32,2024-02-08,Utah Jazz,Incoming,Pick,,,,2024,2,most favorable of WAS/MEM,,
33,2024-02-08,Dallas Mavericks,Incoming,Pick,,,,2024,1,,,
33,2024-02-08,Dallas Mavericks,Incoming,Pick,,,,2028,1,swap,,
33,2024-02-08,Oklahoma City Thunder,Incoming,Pick,,,,2028,1,swap,,
34,2024-02-07,Boston Celtics,Incoming,Cap Space,,,,,,,,160000,+$0.16M CAP SPACE
34,2024-02-07,Boston Celtics,Incoming,Player,Xavier Tillman,25,C,,,,,"Salary: $1,930,681"
34,2024-02-07,Memphis Grizzlies,Outgoing,Cap Space,,,,,,,,160000,-$0.16M CAP SPACE
34,2024-02-07,Memphis Grizzlies,Incoming,Player,Lamar Stevens,26,SF,,,,,"Salary: $2,092,354"
34,2024-02-07,Memphis Grizzlies,Incoming,Pick,,,,2029,2,ATL pick,,
34,2024-02-07,Memphis Grizzlies,Incoming,Pick,,,,2030,2,DAL pick,,
35,2024-02-02,Houston Rockets,Outgoing,Cap Space,,,,,,,,3150000,-$3.15M CAP SPACE
35,2024-02-02,Houston Rockets,Incoming,Player,Steven Adams,30,C,,,,,"Salary: $12,600,000"
35,2024-02-02,Houston Rockets,Incoming,Pick,,,,2024,2,via OKC,,
35,2024-02-02,Houston Rockets,Incoming,Pick,,,,2024,2,"most favorable of BKN (prot 55-58) & GSW (prot 56-58)",,
35,2024-02-02,Houston Rockets,Incoming,Pick,,,,2025,2,more favorable of HOU own,,
35,2024-02-02,Memphis Grizzlies,Incoming,Cap Space,,,,,,,,3150000,+$3.15M CAP SPACE
35,2024-02-02,Memphis Grizzlies,Incoming,Player,Victor Oladipo,31,SG,,,,,"Salary: $9,450,000"
36,2024-01-23,Miami Heat,Incoming,Cap Space,,,,,,,,6480000,+$6.48M CAP SPACE
36,2024-01-23,Miami Heat,Incoming,Player,Terry Rozier,29,PG,,,,,"Salary: $23,205,221"
36,2024-01-23,Charlotte Hornets,Outgoing,Cap Space,,,,,,,,6480000,-$6.48M CAP SPACE
36,2024-01-23,Charlotte Hornets,Incoming,Player,Kyle Lowry,37,PG,,,,,"Salary: $29,682,540"
36,2024-01-23,Charlotte Hornets,Incoming,Pick,,,,2027,1,,,
37,2024-01-17,Indiana Pacers,Outgoing,Cap Space,,,,,,,,7170000,-$7.17M CAP SPACE
37,2024-01-17,Indiana Pacers,Incoming,Player,Pascal Siakam,29,PF,,,,,"Salary: $37,893,408"
37,2024-01-17,Toronto Raptors,Incoming,Cap Space,,,,,,,,7170000,+$7.17M CAP SPACE
37,2024-01-17,Toronto Raptors,Incoming,Player,Bruce Brown Jr.,27,SG,,,,,"Salary: $22,000,000"
37,2024-01-17,Toronto Raptors,Incoming,Player,Kira Lewis Jr.,22,PG,,,,,"Salary: $5,722,116"
37,2024-01-17,Toronto Raptors,Incoming,Player,Jordan Nwora,25,SF,,,,,"Salary: $3,000,000"
37,2024-01-17,Toronto Raptors,Incoming,Pick,,,,2024,1,IND pick,,
37,2024-01-17,Toronto Raptors,Incoming,Pick,,,,2024,1,least favorable of UTA/HOU/LAC/OKC,,
37,2024-01-17,Toronto Raptors,Incoming,Pick,,,,2026,1,"IND pick, top-4 prot 2026/2027, else 2027 UTA 1st & 2028 DAL 2nd",,
38,2024-01-17,Indiana Pacers,Outgoing,Cap Space,,,,,,,,5720000,-$5.72M CAP SPACE
38,2024-01-17,Indiana Pacers,Incoming,Player,Kira Lewis Jr.,22,PG,,,,,"Salary: $5,722,116"
38,2024-01-17,Indiana Pacers,Incoming,Pick,,,,2024,2,least favorable of NOP/CHI,,
38,2024-01-17,New Orleans Pelicans,Incoming,Cap Space,,,,,,,,5720000,+$5.72M CAP SPACE
38,2024-01-17,New Orleans Pelicans,Incoming,Cash,,,,,,110000,,$110,000
39,2024-01-14,Detroit Pistons,Incoming,Cap Space,,,,,,,,3060000,+$3.06M CAP SPACE
39,2024-01-14,Detroit Pistons,Incoming,Player,Mike Muscala,32,C,,,,,"Salary: $6,802,950"
39,2024-01-14,Detroit Pistons,Incoming,Player,Danilo Gallinari,35,PF,,,,,"Salary: $3,500,000"
39,2024-01-14,Washington Wizards,Outgoing,Cap Space,,,,,,,,3060000,-$3.06M CAP SPACE
39,2024-01-14,Washington Wizards,Incoming,Player,Marvin Bagley III,24,PF,,,,,"Salary: $12,500,000"
39,2024-01-14,Washington Wizards,Incoming,Player,Isaiah Livers,25,SF,,,,,"Salary: $865,287"
39,2024-01-14,Washington Wizards,Incoming,Pick,,,,2025,2,,,
39,2024-01-14,Washington Wizards,Incoming,Pick,,,,2026,2,,,
40,2023-12-30,New York Knicks,Incoming,Cap Space,,,,,,,,1160000,+$1.16M CAP SPACE
40,2023-12-30,New York Knicks,Incoming,Player,OG Anunoby,26,SF,,,,,"Salary: $18,642,857"
40,2023-12-30,New York Knicks,Incoming,Player,Precious Achiuwa,24,PF,,,,,"Salary: $4,379,527"
40,2023-12-30,New York Knicks,Incoming,Player,Malachi Flynn,25,PG,,,,,"Salary: $3,873,025"
40,2023-12-30,Toronto Raptors,Outgoing,Cap Space,,,,,,,,1160000,-$1.16M CAP SPACE
40,2023-12-30,Toronto Raptors,Incoming,Player,R.J. Barrett,23,SG,,,,,"Salary: $23,883,929"
40,2023-12-30,Toronto Raptors,Incoming,Player,Immanuel Quickley,24,PG,,,,,"Salary: $4,171,548"
