trade_id,team_id,team_abbreviation,season_end_year,trade_date,player_id,player_name,posicao,RCP_pos_bar_pre_trade,muP_asof,deltaP,preenche_lacuna,RCP_pos_bar_post_trade,deltaP_post_trade,gap_fechada,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
22,1610612738,BOS,2022,2022-02-10,1628401,Derrick White,Guards,0.003562371694239826,0.004185131673950914,-0.0006227599797110879,Preenche Lacuna,0.008542039355992846,-0.0021685547636696393,Nao,0,Ofensivo,3,Elite
22,1610612738,BOS,2023,2023-02-09,203488,Mike Muscala,Centers,0.0034036641486498223,0.004294915566791056,-0.0008912514181412335,Preenche Lacuna,0.009040005397018148,0.000539283565162944,Sim,3,Elite,3,Elite
34,1610612738,BOS,2024,2024-02-07,1630214,Xavier Tillman,Centers,0.007032854209445586,0.0038985981282814953,0.0031342560811640904,Redundante,0.0067579505300353355,0.0012554052410633744,N/A (nao era lacuna),3,Elite,3,Elite
21,1610612738,BOS,2024,2024-02-08,1630531,Jaden Springer,Guards,0.005501902253438689,0.007232158104264437,-0.0017302558508257484,Preenche Lacuna,0.0092268078106001,-0.0011762107911470233,Melhorou,3,Elite,3,Elite
33,1610612739,CLE,2014,2014-01-06,2736,Luol Deng,Forwards,0.0014919011082693947,0.00856664207088498,-0.007074740962615585,Preenche Lacuna,-0.009171195652173914,-0.014985658033904461,Nao,2,Reconstrução,1,Defensivo
20,1610612739,CLE,2014,2014-02-20,201150,Spencer Hawes,Forwards,0.0026268349214524853,0.010037615596983159,-0.0074107806755306736,Preenche Lacuna,-0.015356820234869017,-0.0256823759318177,Nao,0,Ofensivo,1,Defensivo
29,1610612739,CLE,2015,2015-01-05,2747,J.R. Smith,Guards,0.003354954148959963,0.017869682592416395,-0.014514728443456432,Preenche Lacuna,0.012061403508771931,0.0033092978529698103,Sim,1,Defensivo,3,Elite
29,1610612739,CLE,2015,2015-01-05,202697,Iman Shumpert,Guards,0.003354954148959963,0.017869682592416395,-0.014514728443456432,Preenche Lacuna,0.012061403508771931,0.0033092978529698103,Sim,1,Defensivo,3,Elite
36,1610612739,CLE,2015,2015-01-07,202389,Timofey Mozgov,Centers,0.0026522001205545507,0.00029261832037121694,0.0023595818001833336,Redundante,0.0031452358926919513,-0.0013032915018927824,N/A (nao era lacuna),1,Defensivo,3,Elite
19,1610612739,CLE,2016,2016-02-18,101112,Channing Frye,Forwards,0.011543342444357672,0.00938198537646029,0.0021613570678973813,Redundante,0.01866151866151866,0.0021515074046588867,N/A (nao era lacuna),3,Elite,3,Elite
37,1610612739,CLE,2017,2017-01-07,2594,Kyle Korver,Guards,0.0063067367415193505,0.005352515921958898,0.0009542208195604529,Redundante,0.009159909772602573,-0.00024451523955035595,N/A (nao era lacuna),3,Elite,3,Elite
81,1610612739,CLE,2018,2018-02-08,201588,George Hill,Guards,0.002898014551732643,0.00701361136774414,-0.004115596816011497,Preenche Lacuna,0.01536588575941037,0.004640486312649189,Sim,1,Defensivo,3,Elite
81,1610612739,CLE,2018,2018-02-08,203918,Rodney Hood,Forwards,0.01526698729806388,0.01018195016531534,0.00508503713274854,Redundante,0.017636220057909976,-0.0007821752308942026,N/A (nao era lacuna),1,Defensivo,3,Elite
82,1610612739,CLE,2018,2018-02-08,203903,Jordan Clarkson,Guards,0.002898014551732643,0.00701361136774414,-0.004115596816011497,Preenche Lacuna,0.01536588575941037,0.004640486312649189,Sim,1,Defensivo,3,Elite
82,1610612739,CLE,2018,2018-02-08,1626204,Larry Nance Jr.,Forwards,0.01526698729806388,0.01018195016531534,0.00508503713274854,Redundante,0.017636220057909976,-0.0007821752308942026,N/A (nao era lacuna),1,Defensivo,3,Elite
45,1610612739,CLE,2019,2018-11-28,202692,Alec Burks,Guards,-0.006857922616854378,0.027996362940711925,-0.034854285557566304,Preenche Lacuna,-0.0003272786777941416,-0.02132153459863546,Melhorou,2,Reconstrução,2,Reconstrução
44,1610612739,CLE,2019,2018-12-07,203521,Matthew Dellavedova,Guards,-0.001791044776119401,0.03856374527709422,-0.04035479005321362,Preenche Lacuna,-0.00032912693061041035,-0.01914553660418698,Melhorou,2,Reconstrução,2,Reconstrução
44,1610612739,CLE,2019,2018-12-07,203089,John Henson,Forwards,0.018707296849087895,0.025380075596655376,-0.006672778747567481,Preenche Lacuna,0.005253574445798967,-0.001847805508642348,Melhorou,2,Reconstrução,2,Reconstrução
