trade_ids,team_id,team_abbreviation,season_end_year,trade_date,n_players_acquired,trade_classification,min_deltaP_acquired,games_pre,games_post,WPA_time_pre,WPA_time_post,WPA_rate_pre,WPA_rate_post,delta_WPA_time,conference,conf_rank_pre_trade,win_pct_pre_trade,objetivo_sazonal,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
30,1610612739,CLE,2022,2022-02-07,1,Preenche Lacuna,-0.007720225563052476,54,28,9.65,7.140000000000001,0.1787037037037037,0.255,0.0762962962962963,East,4,0.6111111111111112,Contender,1,Defensivo,1,Defensivo
20,1610612739,CLE,2025,2025-02-06,1,Preenche Lacuna,-0.00499245148860584,51,31,21.840000000000003,11.46,0.4282352941176471,0.3696774193548387,-0.05855787476280838,East,1,0.803921568627451,Contender,3,Elite,3,Elite
30,1610612740,NOH,2014,2014-01-21,1,Preenche Lacuna,-0.05670913953070375,40,42,1.2399999999999998,6.390000000000001,0.030999999999999993,0.15214285714285716,0.12114285714285716,West,12,0.4,Tanking,0,Ofensivo,1,Defensivo
34,1610612740,NOH,2015,2015-01-12,1,Preenche Lacuna,-0.049812323548550086,36,46,3.33,6.14,0.0925,0.1334782608695652,0.040978260869565214,West,9,0.5,Intermediario,1,Defensivo,1,Defensivo
"18,22",1610612740,NOH,2015,2015-02-19,4,Preenche Lacuna,-0.029363450186564034,53,29,5.109999999999999,4.36,0.09641509433962263,0.1503448275862069,0.053929733246584274,West,10,0.5094339622641509,Intermediario,1,Defensivo,1,Defensivo
17,1610612740,NOH,2016,2016-02-18,1,Redundante,0.009901532203125776,53,29,4.540000000000001,1.6799999999999997,0.08566037735849058,0.05793103448275861,-0.02772934287573197,West,12,0.37735849056603776,Tanking,2,Reconstrução,0,Ofensivo
31,1610612740,NOH,2017,2017-02-20,2,Preenche Lacuna,-0.004621557153729515,57,25,3.2199999999999993,2.79,0.056491228070175425,0.1116,0.05510877192982458,West,11,0.40350877192982454,Tanking,0,Ofensivo,0,Ofensivo
92,1610612740,NOH,2018,2018-02-01,1,Redundante,0.004981738469588484,49,32,12.73,7.390000000000001,0.25979591836734695,0.23093750000000002,-0.028858418367346927,West,7,0.54,Intermediario,0,Ofensivo,0,Ofensivo
89,1610612740,NOH,2018,2018-02-08,1,Preenche Lacuna,-0.0032929390203646613,52,29,13.18,6.94,0.25346153846153846,0.23931034482758623,-0.01415119363395223,West,8,0.5283018867924528,Intermediario,0,Ofensivo,0,Ofensivo
"25,30",1610612740,NOH,2019,2019-02-07,3,Redundante,0.008327469899136797,55,27,-5.7612000000000005,-4.382300000000001,-0.10474909090909092,-0.16230740740740743,-0.05755831649831651,West,13,0.43636363636363634,Tanking,0,Ofensivo,0,Ofensivo
