trade_id,team_id,team_abbreviation,season_end_year,trade_date,player_id,player_name,posicao,RCP_pos_bar_pre_trade,muP_asof,deltaP,preenche_lacuna,RCP_pos_bar_post_trade,deltaP_post_trade,gap_fechada,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
39,1610612742,DAL,2019,2019-01-31,201584,Courtney Lee,Guards,-0.04007316904811207,0.028873930938496398,-0.06894709998660847,Preenche Lacuna,-0.023016177702368933,-0.03132253553342733,Melhorou,2,Elite,3,Reconstrução
39,1610612742,DAL,2019,2019-01-31,204001,Kristaps Porzingis,Forwards,-0.07870918754745629,0.002332135394315436,-0.08104132294177173,Preenche Lacuna,0.04240673525053156,0.027640880256871586,Sim,2,Elite,3,Reconstrução
39,1610612742,DAL,2019,2019-01-31,203504,Trey Burke,Guards,-0.04007316904811207,0.028873930938496398,-0.06894709998660847,Preenche Lacuna,-0.023016177702368933,-0.03132253553342733,Melhorou,2,Elite,3,Reconstrução
31,1610612742,DAL,2020,2020-01-24,1628383,Justin Patton,Centers,-0.021048633281271746,0.011150985114481293,-0.03219961839575304,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,1,Ofensivo
30,1610612742,DAL,2020,2020-01-25,1626161,Willie Cauley-Stein,Centers,-0.021048633281271746,0.013619151317530276,-0.03466778459880202,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,1,Ofensivo
29,1610612743,DEN,2020,2020-02-05,203943,Noah Vonleh,Forwards,0.007845197357863737,0.008603353483624215,-0.0007581561257604778,Preenche Lacuna,,,Sem dado pos-troca,0,Defensivo,0,Defensivo
29,1610612743,DEN,2020,2020-02-05,203894,Shabazz Napier,Guards,0.011609041611188456,0.0031336619278446057,0.00847537968334385,Redundante,,,Sem dado pos-troca,0,Defensivo,0,Defensivo
29,1610612743,DEN,2020,2020-02-05,101123,Gerald Green,Guards,0.011609041611188456,0.0031336619278446057,0.00847537968334385,Redundante,,,Sem dado pos-troca,0,Defensivo,0,Defensivo
29,1610612743,DEN,2020,2020-02-05,1628966,Keita Bates-Diop,Forwards,0.007845197357863737,0.008603353483624215,-0.0007581561257604778,Preenche Lacuna,,,Sem dado pos-troca,0,Defensivo,0,Defensivo
20,1610612743,DEN,2020,2020-02-06,203895,Jordan McRae,Guards,0.01135569130154317,0.0016111065230566101,0.00974458477848656,Redundante,,,Sem dado pos-troca,0,Defensivo,0,Defensivo
25,1610612743,DEN,2021,2021-03-25,203932,Aaron Gordon,Forwards,-0.0027327968642532584,0.014414560851604113,-0.017147357715857372,Preenche Lacuna,0.008520453008348864,-0.012385379683689603,Melhorou,0,Defensivo,2,Elite
25,1610612743,DEN,2021,2021-03-25,1629109,Gary Clark,Forwards,-0.0027327968642532584,0.014414560851604113,-0.017147357715857372,Preenche Lacuna,0.008520453008348864,-0.012385379683689603,Melhorou,0,Defensivo,2,Elite
26,1610612743,DEN,2021,2021-03-25,201580,JaVale McGee,Centers,0.01558757078976617,0.002263604744997538,0.013323966044768631,Redundante,0.01564370282401602,0.01743421379127212,N/A (nao era lacuna),0,Defensivo,2,Elite
22,1610612744,GSW,2020,2020-02-06,203952,Andrew Wiggins,Forwards,0.009366698755164759,0.009267634004295509,9.906475086924986e-05,Redundante,0.022600689658133975,-0.03305175871423334,N/A (nao era lacuna),3,Reconstrução,3,Reconstrução
26,1610612745,HOU,2019,2019-02-07,202697,Iman Shumpert,Guards,0.041828833255783286,0.023834054632124888,0.0179947786236584,Redundante,0.05093336110486861,0.045884301925997115,N/A (nao era lacuna),2,Elite,0,Defensivo
26,1610612745,HOU,2019,2019-02-07,203917,Nik Stauskas,Guards,0.041828833255783286,0.023834054632124888,0.0179947786236584,Redundante,0.05093336110486861,0.045884301925997115,N/A (nao era lacuna),2,Elite,0,Defensivo
26,1610612745,HOU,2019,2019-02-07,1627735,Wade Baldwin,Guards,0.041828833255783286,0.023834054632124888,0.0179947786236584,Redundante,0.05093336110486861,0.045884301925997115,N/A (nao era lacuna),2,Elite,0,Defensivo
29,1610612745,HOU,2020,2020-02-05,203496,Robert Covington,Forwards,-0.006155707946752723,0.008603353483624215,-0.014759061430376938,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,2,Elite
29,1610612745,HOU,2020,2020-02-05,1628395,Jordan Bell,Centers,-0.016609675117137804,0.008186752504185504,-0.024796427621323308,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,2,Elite
26,1610612745,HOU,2020,2020-02-06,196294585,Bruno Caboclo,Forwards,-0.006155707946752723,0.009267634004295509,-0.015423341951048232,Preenche Lacuna,,,Sem dado pos-troca,2,Elite,2,Elite
36,1610612745,HOU,2021,2021-01-22,1629645,Kevin Porter Jr.,Guards,-0.007044159902236423,0.005619525242439772,-0.012663685144676196,Preenche Lacuna,-0.0001484891324594367,0.0006103707105299621,Sim,0,Defensivo,3,Reconstrução
31,1610612745,HOU,2021,2021-03-19,201571,D.J. Augustin,Guards,-0.003348246622372798,0.0014530444008107708,-0.004801291023183569,Preenche Lacuna,0.0024510450381880736,-0.01436295251492034,Nao,3,Reconstrução,3,Reconstrução
31,1610612745,HOU,2021,2021-03-19,1628391,DJ Wilson,Forwards,0.019150928930901763,0.019916705639050875,-0.0007657767081491115,Preenche Lacuna,0.01710613408089265,0.00424502110784461,Sim,3,Reconstrução,3,Reconstrução
18,1610612745,HOU,2021,2021-03-25,203482,Kelly Olynyk,Forwards,0.017642945168915132,0.014414560851604113,0.0032283843173110185,Redundante,0.018887990292003744,-0.002017842400034723,N/A (nao era lacuna),3,Reconstrução,3,Reconstrução
18,1610612745,HOU,2021,2021-03-25,202340,Avery Bradley,Guards,-0.0032330018120827974,0.006395762686680525,-0.009628764498763322,Preenche Lacuna,0.0033542513038623315,-0.01260585931955104,Nao,3,Reconstrução,3,Reconstrução
32,1610612746,LAC,2019,2019-02-06,201163,Wilson Chandler,Forwards,-0.039121510156279495,0.001290178777678038,-0.04041168893395753,Preenche Lacuna,0.023867386202542203,0.00943442988139895,Sim,2,Elite,2,Elite
32,1610612746,LAC,2019,2019-02-06,203488,Mike Muscala,Centers,0.066565502650833,-0.0008286317718814609,0.06739413442271446,Redundante,-0.031048846637996414,-0.04005889964668313,N/A (nao era lacuna),2,Elite,2,Elite
32,1610612746,LAC,2019,2019-02-06,1629013,Landry Shamet,Guards,-0.009262174312735325,0.018216109163124442,-0.027478283475859767,Preenche Lacuna,0.04421849747249125,0.03256316708329184,Sim,2,Elite,2,Elite
22,1610612746,LAC,2019,2019-02-07,201563,Michael Beasley,Forwards,-0.039121510156279495,0.0028857874399276636,-0.04200729759620716,Preenche Lacuna,0.023867386202542203,0.006227274886721677,Sim,2,Elite,2,Elite
22,1610612746,LAC,2019,2019-02-07,1627826,Ivica Zubac,Centers,0.066565502650833,-0.00822287782037132,0.07478838047120431,Redundante,-0.031048846637996414,-0.04421365708029938,N/A (nao era lacuna),2,Elite,2,Elite
24,1610612746,LAC,2019,2019-02-07,202066,Garrett Temple,Guards,-0.009262174312735325,0.023834054632124888,-0.03309622894486021,Preenche Lacuna,0.04421849747249125,0.039169438293619754,Sim,2,Elite,2,Elite
24,1610612746,LAC,2019,2019-02-07,203210,JaMychal Green,Forwards,-0.039121510156279495,0.0028857874399276636,-0.04200729759620716,Preenche Lacuna,0.023867386202542203,0.006227274886721677,Sim,2,Elite,2,Elite
19,1610612746,LAC,2020,2020-02-06,202694,Marcus Morris,Forwards,0.01938464690907147,0.009267634004295509,0.01011701290477596,Redundante,,,Sem dado pos-troca,2,Elite,2,Elite
19,1610612746,LAC,2020,2020-02-06,202738,Isaiah Thomas,Guards,0.012213119247391437,0.0016111065230566101,0.010602012724334827,Redundante,,,Sem dado pos-troca,2,Elite,2,Elite
20,1610612746,LAC,2021,2021-03-25,200765,Rajon Rondo,Guards,0.017256986518135113,0.006395762686680525,0.010861223831454589,Redundante,0.03190991753866005,0.015949806915246677,N/A (nao era lacuna),0,Defensivo,0,Defensivo
