team_id,team_abbreviation,season_end_year,WPA_time,games_played,cluster,source
1610612744,GSW,2023,26.330000000000002,82.0,3,inpredictable
1610612745,HOU,2023,5.83,82.0,2,inpredictable
1610612754,IND,2023,26.2,82.0,1,inpredictable
1610612746,LAC,2023,27.810000000000002,82.0,0,inpredictable
1610612747,LAL,2023,27.69,82.0,1,inpredictable
1610612763,MEM,2023,22.51,82.0,3,inpredictable
1610612748,MIA,2023,27.49,82.0,0,inpredictable
1610612749,MIL,2023,27.48,82.0,3,inpredictable
1610612750,MIN,2023,22.900000000000002,82.0,1,inpredictable
1610612740,NOP,2023,20.52,82.0,0,inpredictable
1610612752,NYK,2023,30.8,82.0,1,inpredictable
1610612760,OKC,2023,24.55,82.0,1,inpredictable
1610612753,ORL,2023,19.259999999999998,82.0,2,inpredictable
1610612755,PHI,2023,33.44,82.0,0,inpredictable
1610612756,PHX,2023,21.4,82.0,0,inpredictable
1610612757,POR,2023,27.1,82.0,2,inpredictable
1610612758,SAC,2023,40.120000000000005,82.0,3,inpredictable
1610612759,SAS,2023,12.120000000000001,82.0,2,inpredictable
1610612761,TOR,2023,19.580000000000002,82.0,0,inpredictable
1610612762,UTA,2023,28.31,82.0,1,inpredictable
1610612764,WAS,2023,21.919999999999998,82.0,0,inpredictable
1610612737,ATL,2024,28.37,82.0,1,inpredictable
1610612751,BKN,2024,20.41,82.0,1,inpredictable
1610612738,BOS,2024,33.63,82.0,3,inpredictable
1610612766,CHA,2024,14.090000000000002,82.0,2,inpredictable
1610612741,CHI,2024,26.740000000000002,82.0,1,inpredictable
1610612739,CLE,2024,25.66,82.0,0,inpredictable
1610612742,DAL,2024,31.81,82.0,3,inpredictable
1610612743,DEN,2024,29.24,82.0,0,inpredictable
1610612765,DET,2024,8.950000000000001,82.0,2,inpredictable
1610612744,GSW,2024,27.65,82.0,1,inpredictable
1610612745,HOU,2024,19.63,82.0,1,inpredictable
1610612754,IND,2024,35.92,82.0,3,inpredictable
1610612746,LAC,2024,30.3,82.0,0,inpredictable
1610612747,LAL,2024,29.259999999999998,82.0,1,inpredictable
1610612763,MEM,2024,7.16,82.0,2,inpredictable
1610612748,MIA,2024,23.740000000000002,82.0,0,inpredictable
1610612749,MIL,2024,31.57,82.0,3,inpredictable
1610612750,MIN,2024,26.35,82.0,0,inpredictable
1610612740,NOP,2024,22.41,82.0,3,inpredictable
1610612752,NYK,2024,21.759999999999998,82.0,0,inpredictable
1610612760,OKC,2024,35.88,82.0,3,inpredictable
1610612753,ORL,2024,20.45,82.0,0,inpredictable
1610612755,PHI,2024,27.58,82.0,3,inpredictable
1610612756,PHX,2024,26.78,82.0,3,inpredictable
1610612757,POR,2024,5.67,82.0,2,inpredictable
1610612758,SAC,2024,24.93,82.0,1,inpredictable
1610612759,SAS,2024,11.840000000000002,82.0,2,inpredictable
1610612761,TOR,2024,16.6,82.0,2,inpredictable
1610612762,UTA,2024,17.3,82.0,2,inpredictable
1610612764,WAS,2024,12.45,82.0,2,inpredictable
1610612737,ATL,2025,23.89,82.0,1,inpredictable
1610612751,BKN,2025,11.99,82.0,2,inpredictable
1610612738,BOS,2025,33.28,82.0,3,inpredictable
1610612766,CHA,2025,3.940000000000001,82.0,2,inpredictable
1610612741,CHI,2025,22.27,82.0,3,inpredictable
1610612739,CLE,2025,33.300000000000004,82.0,3,inpredictable
1610612742,DAL,2025,23.060000000000002,82.0,0,inpredictable
1610612743,DEN,2025,31.53,82.0,3,inpredictable
1610612765,DET,2025,23.490000000000002,82.0,1,inpredictable
1610612744,GSW,2025,20.16,82.0,3,inpredictable
1610612745,HOU,2025,13.67,82.0,1,inpredictable
1610612754,IND,2025,31.490000000000002,82.0,1,inpredictable
1610612746,LAC,2025,22.04,82.0,0,inpredictable
1610612747,LAL,2025,29.680000000000003,81.0,0,inpredictable
1610612763,MEM,2025,22.85,82.0,3,inpredictable
1610612748,MIA,2025,19.88,82.0,0,inpredictable
1610612749,MIL,2025,31.75,82.0,0,inpredictable
1610612750,MIN,2025,25.38,82.0,0,inpredictable
1610612740,NOP,2025,11.47,82.0,2,inpredictable
1610612752,NYK,2025,26.57,82.0,0,inpredictable
1610612760,OKC,2025,29.53,82.0,3,inpredictable
1610612753,ORL,2025,11.15,82.0,0,inpredictable
1610612755,PHI,2025,15.5,82.0,2,inpredictable
1610612756,PHX,2025,26.84,82.0,0,inpredictable
1610612757,POR,2025,13.99,81.0,2,inpredictable
1610612758,SAC,2025,25.79,82.0,1,inpredictable
1610612759,SAS,2025,21.0,82.0,0,inpredictable
1610612761,TOR,2025,8.950000000000001,82.0,1,inpredictable
1610612762,UTA,2025,9.18,82.0,2,inpredictable
1610612764,WAS,2025,7.63,82.0,2,inpredictable
